year,ceremony,category,award,nominee,film,country,winner,source_url
2017,El Gouna Film Festival 2017,Documentary competition,Golden Star,Raoul Peck,I Am Not Your Negro,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2017,El Gouna Film Festival 2017,Documentary competition,Best Arabic Documentary,Mohamed Zedan,I Have a Picture,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2017,El Gouna Film Festival 2017,Documentary competition,Silver Star,Viktor Jakovleski,Brimstone and Glory,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2017,El Gouna Film Festival 2017,Documentary competition,Bronze Star,Wang Bing Golden Star For,Mrs Fang,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2017,El Gouna Film Festival 2017,Feature Narrative competition,Golden Star,Ana Urushadze,Scary Mother,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2017,El Gouna Film Festival 2017,Feature Narrative competition,Bronze Star,Boris Khlebnikov Golden Star for,Arrhythmia,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2017,El Gouna Film Festival 2017,Feature Narrative competition,Best Arabic Feature Film,Tamer Ashry,Photocopy,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2017,El Gouna Film Festival 2017,Feature Narrative competition,Award,Thomas Morgan,Soufra,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2017,El Gouna Film Festival 2017,Feature Narrative competition,Best Actress,Volubilis,Nadia Kounda,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2017,El Gouna Film Festival 2017,Feature Narrative competition,Best Actor,Zama Cinema For Humanity Audience,Daniel Gimenez Cacho,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2017,El Gouna Film Festival 2017,Feature Narrative competition,Silver Star,Ziad Dower,The Insult,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2017,El Gouna Film Festival 2017,Short Film competition,El Gouna Star for Best Arab Short Film,Christophe M. Saber,Punchline,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2017,El Gouna Film Festival 2017,Short Film competition,Golden Star,Shady El-Hamus,Nightshade,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2017,El Gouna Film Festival 2017,Short Film competition,Bronze Star,Robin Andelfinger and Ibrahima Seydi,Mama Bobo,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2017,El Gouna Film Festival 2017,Short Film competition,Silver Star,Ruslan Bratov,Merry-Go-Round,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2018,El Gouna Film Festival 2018,Feature Documentary competition,Golden Star,Victor Kossakovsky,Aquarela,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2018,El Gouna Film Festival 2018,Feature Documentary competition,Bronze Star,Cyril Aris,The Swing,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2018,El Gouna Film Festival 2018,Feature Documentary competition,Silver Star,Talal Derki,Of Fathers and Sons,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2018,El Gouna Film Festival 2018,Feature Narrative competition,El Gouna Star for Best Arabic Narrative Film,A.B. Shawky,Yomeddine,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2018,El Gouna Film Festival 2018,Feature Narrative competition,Golden Star,Yeo Siew Hua,A Land Imagined,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2018,El Gouna Film Festival 2018,Feature Narrative competition,Award,A.B. Shawky (joint winners),"Another Day Of Life ; Raúl De La Fuente, Damian Nenow and Yomeddine",,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2018,El Gouna Film Festival 2018,Feature Narrative competition,Best Actress,Cold War,Joanna Kulig,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2018,El Gouna Film Festival 2018,Feature Narrative competition,Best Actor,Dear Son Cinema for Humanity Audience,Mohamed Dhrif,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2018,El Gouna Film Festival 2018,Feature Narrative competition,Bronze Star,Marcelo Martinessi,The Heiresses,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2018,El Gouna Film Festival 2018,Feature Narrative competition,Special Mention,Natasha Merkulova and Aleksey Chupov,The Man Who Surprised Everyone,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2018,El Gouna Film Festival 2018,Feature Narrative competition,Silver Star,Richard Billingham,Ray & Liz,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2018,El Gouna Film Festival 2018,Short Film competition,Golden Star,Juanita Onzaga,Our Song To War,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2018,El Gouna Film Festival 2018,Short Film competition,El Gouna Star for Best Arab Short Film,Tamer Ashry,EyeBrows,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2018,El Gouna Film Festival 2018,Short Film competition,Bronze Star,Kaouther Ben Hania,Sheikh's Watermelons,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2018,El Gouna Film Festival 2018,Short Film competition,Silver Star,Raymund Ribay Gutierrez,Judgement,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2019,El Gouna Film Festival 2019,Feature Documentary competition,El Gouna Star for Best Arab Documentary Film,Lina Alabed NETPAC,Ibrahim: A Fate to Define,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2019,El Gouna Film Festival 2019,Feature Documentary competition,Golden Star,Suhaib Gasmelbari,Talking About Trees,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2019,El Gouna Film Festival 2019,Feature Documentary competition,Bronze Star,Aboozar Amini,"Kabul, City in the Wind",,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2019,El Gouna Film Festival 2019,Feature Documentary competition,Silver Star,Hassen Ferhani,143 Sahara Street,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2019,El Gouna Film Festival 2019,Feature Narrative competition,Golden Star,Amjad Abu Alala,You Will Die at Twenty,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2019,El Gouna Film Festival 2019,Feature Narrative competition,El Gouna Star for Best Arabic Narrative Film,Mounia Meddour,Papicha,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2019,El Gouna Film Festival 2019,Feature Narrative competition,Best Actor,Corpus Christi Cinema for Humanity Audience,Bartosz Bielenia,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2019,El Gouna Film Festival 2019,Feature Narrative competition,Silver Star,Jan Komasa,Corpus Christi,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2019,El Gouna Film Festival 2019,Feature Narrative competition,Award,Ladj Ly FIPRESCI,Les Misérables,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2019,El Gouna Film Festival 2019,Feature Narrative competition,Bronze Star,Maryam Touzani,Adam,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2019,El Gouna Film Festival 2019,Feature Narrative competition,Best Actress,Noura's Dream,Hend Sabry,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2019,El Gouna Film Festival 2019,Feature Narrative competition,Award,Oualid Mouaness,1982,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2019,El Gouna Film Festival 2019,Short Film competition,Golden Star,Sonia K. Haddad,Exam,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2019,El Gouna Film Festival 2019,Short Film competition,El Gouna Star for Best Arab Short Film,Zain Duraie,Give Up the Ghost,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2019,El Gouna Film Festival 2019,Short Film competition,Bronze Star,Camila Kater,Flesh,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2019,El Gouna Film Festival 2019,Short Film competition,Silver Star,Wassim Geagea,Ome,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2019,El Gouna Film Festival 2019,Short Film competition,Special Jury Mention,Álvaro Gago Díaz,16 December,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2021,El Gouna Film Festival 2021,Feature Documentary competition,El Gouna Star for Best Arab Documentary Film,Ali El Arabi NETPAC,Captains of Za'atari,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2021,El Gouna Film Festival 2021,Feature Documentary competition,Golden Star,Renato Borrayo Serrano,Life of Ivana,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2021,El Gouna Film Festival 2021,Feature Documentary competition,Bronze Star,Hogir Hirori,Sabaya,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2021,El Gouna Film Festival 2021,Feature Documentary competition,Silver Star,Laurent Stoop,"Ostrov - Lost Island, Svetlana Rodina",,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2021,El Gouna Film Festival 2021,Feature Documentary competition,Award for Best Asian Film,Natasha Merkulova,"Captain Volkongov Escaped, Aleksey Chupov",,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2021,El Gouna Film Festival 2021,Feature Narrative competition,El Gouna Star for Best Arabic Narrative Film,Omar El Zohairy,Feathers,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2021,El Gouna Film Festival 2021,Feature Narrative competition,Golden Star,Teemu Nikki,The Blind Man Who Did Not Want to See Titanic,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2021,El Gouna Film Festival 2021,Feature Narrative competition,Award,Laurent Stoop FIPRESCI,"Ostrove: Lost Island, Svetlana Rodina",,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2021,El Gouna Film Festival 2021,Feature Narrative competition,Silver Star,Michel Franco,Sun Down,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2021,El Gouna Film Festival 2021,Feature Narrative competition,Award,Mounia Akl,Costa Brava,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2021,El Gouna Film Festival 2021,Feature Narrative competition,Bronze Star,Natasha Merkulova,"Captain Volkongov Escaped, Aleksey Chupov",,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2021,El Gouna Film Festival 2021,Feature Narrative competition,Best Actress,Playground,Petri Poikolainen,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2021,El Gouna Film Festival 2021,Feature Narrative competition,Best Actor,The Blind Man Who Did Not Want to See Titanic Cinema for Humanity Audience,Perri Poikonainen,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2021,El Gouna Film Festival 2021,Short Film competition,El Gouna Star for Best Arab Short Film,Ahmed Abdelsalam,Cai-Ber,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2021,El Gouna Film Festival 2021,Short Film competition,Golden Star,Andrey Natotcinskiy,Katia,,1,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2021,El Gouna Film Festival 2021,Short Film competition,Special Mention,,actress Aisha Al Rifae for Nour Shams directed by Faiza Ambah,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2021,El Gouna Film Festival 2021,Short Film competition,Silver Star,Aliosha Massine,Holy Son,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
2021,El Gouna Film Festival 2021,Short Film competition,Bronze Star,Jela Hasler,On Solid Ground,,0,https://en.wikipedia.org/wiki/El_Gouna_Film_Festival
